reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
1,Watson Creek,197974_ds,0,0,1,3.5,2.7,2.8,3,6.6,2.1,,3.4500000000000006,metre tape,1.1,0.9,0.7,0.7,3.3,1.7,,1.4,metre tape,0.3,0.4,0.4,0.4,0.6,,,0.42,metre stick,0.4,0.4,0.5,,0.43333333333333335,metre stick,2,3,1.5,,0.021666666666666664,clinometer,moderate,no,13,recording meter,199,recording meter,7.8,pH meter (general),lightly turbid,trace,dominant,trace,none,sub-dominant,sub-dominant,trace,none,1-20%,few,evenly distributed,none,undercut,gravels,,shrubs,shrub,sloping,cobbles,,mixed forest,mature forest,gravels,cobbles,,,,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Moderate value habitat. Low flow near culvert but as you get away (>50m) from it there's much better flow and habitat. Numerous deep pools and undercut banks. Not much cover in most areas. Abundant gravels suitable for spawning. Stream opens up after 100m and goes through cow pasture whre there's less cover and the stream becomes more coupled. 16:15
2,Watson Creek,197974_us,0,0,2,2.3,3.1,3.6,3.6,3.8,3.8,,3.3666666666666667,metre tape,1.7,1.4,0.6,2,4.1,0.8,,1.7666666666666666,metre tape,0.3,0.7,0.6,,,,,0.5333333333333333,metre stick,0.4,0.5,,,0.45,metre stick,2,2,1.5,,0.018333333333333333,clinometer,low,no,13,recording meter,199,recording meter,7.8,pH meter (general),Lightly Turbid,moderate,sub-dominant,sub-dominant,trace,dominant,sub-dominant,sub-dominant,none,21-40%,few,clumped,none,undercut,fines,,mixed forest,mature forest,sloping,fines,,mixed forest,mature forest,gravels,fines,,,riffle-pool,sinuous,Partially Coupled,frequently confined,LWD Jam,0.6,2,metre stick,9,680609,6040618,,Medium value habitat. Abundant gravels present for spawning. Lower 150-200m of stream is heavily impacted by cattle from Buckrow Angus farm. Beaver present in lower section. Numerous fry throughout. Some deep pools to 0.7m available for rearing and overwintering for rainbow fry and juvenile. Frequent debris in stream. Cattle accessing stream intermittently to top of site. 16:18
3,Perow Creek,197653_ds,0,0,3,3.9,5.1,3.9,,,,,4.3,metre tape,,,,,,,,,,,,,,,,,,,0.9,0.55,,,0.7250000000000002,metre stick,2,,,,0.02,clinometer,low,,,,,,,,,moderate,trace,none,dominant,trace,trace,sub-dominant,none,1-20%,none,not applicable,none,V-shaped,boulders,,shrubs,shrub,V-shaped,boulders,,mixed forest,mature forest,boulders,cobbles,90,35,,straight,Decoupled,frequently confined,,,,,,,,,"Concrete slabs just downstream of culvert on both banks. Substrate lots of riff raff boulders, not great fish habitat. Dewatered stream, unnatural morphology. 11:06"
4,Perow Creek,197653_us2,0,0,4,4.1,5.6,4.4,4.5,5.4,4.4,,4.7333333333333325,metre tape,1.8,2.8,3.3,2.1,2.6,1.8,,2.4,metre tape,0.6,0.6,,,,,,0.6,metre stick,0.63,0.44,0.57,,0.5466666666666667,metre stick,3,2.5,5.5,,0.03666666666666667,clinometer,low,,12.8,recording meter,230,recording meter,8.099999999999998,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,dominant,sub-dominant,sub-dominant,dominant,none,1-20%,few,evenly distributed,mosses,undercut,fines,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,cobbles,gravels,,15,,sinuous,Partially Coupled,frequently confined,,,,,,,,,Medium value habitat. Stream is dewatered at highway. Gravels present for resident and andronous salmonids. Infrequent deep pools for rearing and overwintering for salmonids. 12:50:07
5,Perow Creek,197653_us,0,0,5,3.5,3.2,3.5,3.7,2.7,2.5,,3.1833333333333327,metre tape,1.6,2.2,,,,,,1.9,metre tape,0.4,0.4,,,,,,0.4,metre stick,0.35,0.35,,,0.35,metre stick,3,2,4,,0.03,clinometer,,,13,recording meter,230,recording meter,8.099999999999998,pH meter (general),Clear,moderate,sub-dominant,trace,none,trace,trace,dominant,trace,21-40%,few,evenly distributed,mosses,sloping,cobbles,,shrubs,shrub,V-shaped,gravels,,mixed forest,mature forest,cobbles,gravels,,,,sinuous,Decoupled,occasionally confined,,,,,,,,,No water until ~350m upstream. Moderate value habitat. Once the water begins the habitat becomes better. Lots of gravels and cobbles suitable for spawning. Some deep pools and undercut banks. 12:58
6,Stock Creek,195943_ds,0,0,6,5,4.5,3.1,4.5,3,2.8,,3.8166666666666664,metre tape,2.8,1.6,1.3,2.8,1.5,1,,1.8333333333333333,metre tape,0.3,0.4,0.3,0.7,,,,0.425,metre stick,0.8,0.55,,,0.675,metre stick,4,2,2,,0.026666666666666665,clinometer,moderate,,14,recording meter,343,recording meter,8.14,pH meter (general),Clear,moderate,dominant,none,trace,trace,trace,trace,trace,1-20%,none,clumped,algae,sloping,fines,,shrubs,shrub,sloping,gravels,,grass,not applicable,gravels,cobbles,,,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,Pool at 11:57 has fish ~10cm in length backing (180m ds of culvert). Bridge at waypoint 47(MW). Shallow pool ds of bridge. Trout backing? Concrete slabs on both banks us of bridge. Limited riparian veg due to farm. Not much overhead vegetation. Built up dams to form pools (livestock waterholes). Some garbage and debris in and around stream. Potential for higher value habitat but too much interference with property owners. Moderate value habitat. 11:20
7,Stock Creek,195943_us,0,0,7,2.6,2.7,3.1,2.9,3.1,3,4.1,3.071428571428572,metre tape,1.3,1.6,1.7,1.9,2,2.1,,1.7666666666666666,metre tape,0.1,0.18,0.3,0.3,0.4,,,0.25600000000000006,metre stick,0.6,0.58,0.53,,0.57,metre stick,2,2,1.5,3,0.02125,clinometer,,,14,recording meter,343,recording meter,8.099999999999998,pH meter (general),Clear,abundant,trace,trace,dominant,sub-dominant,trace,trace,none,1-20%,few,clumped,none,sloping,gravels,,deciduous forest,mature forest,V-shaped,gravels,,deciduous forest,mature forest,cobbles,boulders,,,,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Medium value habitat. Good flow volume and decent amount of complexity due to boulders and undercut banks. Some small pockets of gravel suitable for resident rainbow spawning and potential coho.   Occasional shallow pools and traces of large water debris. Channel appears to be constricted due to agricultural development on both sides of the stream. Water withdrawal is occurring as well.  More agricultural development encroaching on the riparian farther upstream. Survey length 330 m. 11:32:40
8,Stock Creek,195944_us,0,0,8,4.6,4.5,4.1,3.1,5.1,3.8,,4.2,metre tape,1.4,1.6,1.6,1.7,2.5,1.7,,1.75,metre tape,0.08999999999999998,0.42,0.23,0.34,0.5,,,0.316,metre stick,0.4,0.5,0.43,,0.44333333333333336,metre stick,2,2,2,2,0.02,clinometer,low,,14,recording meter,304,recording meter,8.26,pH meter (general),Clear,moderate,sub-dominant,trace,dominant,sub-dominant,trace,trace,none,1-20%,few,clumped,mosses,undercut,fines,,mixed forest,mature forest,V-shaped,fines,,deciduous forest,mature forest,boulders,cobbles,,,,sinuous,Partially Coupled,frequently confined,rock outcrop,0.64,1,,9,646171,6035941,,Medium value habitat. Likely an important migration Corredor however the stream is heavily impacted by cattle chapel thanks and degradation related to cattle ranching And windthrow. Significant amounts of cattle manure in the stream likely putting water quality well above disgusting thresholds. Occasional pockets of gravel suitable for resident rainbow spawning. No fish observed. Boulders are the significant cover however there are just occasional pause with depth suitable for overwintering. Decent amount of hearing habitat for juveniles though. Small rock drop of 65cm is located 365m upstream of the top end of the culvert. 15:07:54
9,Vallee Creek,57793_ds,0,0,9,4.7,2.8,6,2.9,3.9,4.3,,4.1,metre tape,2,1.8,3,1.8,2.7,3,,2.3833333333333333,metre tape,0.8,0.3,0.3,0.4,,,,0.45000000000000007,metre stick,0.8,0.3,0.3,0.4,0.45000000000000007,metre stick,3,1,1.5,2.5,0.02,clinometer,moderate,,12,recording meter,204,recording meter,8,pH meter (general),Moderately Turbid,abundant,sub-dominant,sub-dominant,trace,dominant,trace,sub-dominant,trace,41-70%,few,evenly distributed,algae,undercut,gravels,,mixed forest,mature forest,undercut,cobbles,,shrubs,shrub,gravels,cobbles,60,20,,sinuous,Decoupled,occasionally confined,,,,,,,,,"Undercut banks throughout providing good cover for fish. Abundant riparian vegetation providing cover and controlling temperature. Some gravels suitable for spawning. High value habitat, some fish spotted. Functional large woody debris throughout stream. 10:01"
10,Thompson Creek,198066_us,0,0,10,5.2,7.3,3,,,,,5.166666666666667,metre tape,1.9,3.8,2.8,,,,,2.833333333333333,metre tape,0.5,0.27,0.5,,,,,0.4233333333333333,metre stick,0.5,0.42,,,0.46,metre stick,1.5,4,2,,0.025,clinometer,low,,13,recording meter,288,recording meter,8.4,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,trace,dominant,sub-dominant,sub-dominant,none,1-20%,few,clumped,none,undercut,fines,,shrubs,shrub,sloping,fines,,deciduous forest,mature forest,gravels,cobbles,,,,sinuous,Decoupled,occasionally confined,,,,,,,,,High value habitat. Abundant gravel is present suitable for spawning resident and anadromous species. Some deep pools present suitable for juvenile rearing and overwintering. Some evidence of large flow events likely due to Beaverdam blowouts upstream which have been reported by adjacent landowners. 10:30:31
